rank,mrmr_mean,mrmr_max,combined_mrmr,jmi,cmim
501,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""","value__fft_coefficient__attr_""abs""__coeff_87",value__approximate_entropy__m_2__r_0.9,"value__fft_coefficient__attr_""angle""__coeff_11","value__fft_coefficient__attr_""angle""__coeff_15"
502,"value__fft_coefficient__attr_""real""__coeff_35","value__fft_coefficient__attr_""imag""__coeff_7","value__fft_coefficient__attr_""imag""__coeff_9","value__fft_coefficient__attr_""angle""__coeff_12","value__fft_coefficient__attr_""angle""__coeff_16"
503,"value__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4","value__fft_coefficient__attr_""real""__coeff_72","value__fft_coefficient__attr_""angle""__coeff_13","value__fft_coefficient__attr_""angle""__coeff_17"
504,"value__fft_coefficient__attr_""abs""__coeff_85","value__fft_coefficient__attr_""abs""__coeff_28","value__fft_coefficient__attr_""real""__coeff_52","value__fft_coefficient__attr_""angle""__coeff_14","value__fft_coefficient__attr_""angle""__coeff_18"
505,"value__fft_coefficient__attr_""imag""__coeff_88","value__fft_coefficient__attr_""imag""__coeff_18","value__fft_coefficient__attr_""real""__coeff_99","value__fft_coefficient__attr_""angle""__coeff_15","value__fft_coefficient__attr_""angle""__coeff_19"
506,"value__fft_coefficient__attr_""abs""__coeff_69","value__fft_coefficient__attr_""imag""__coeff_12",value__partial_autocorrelation__lag_2,"value__fft_coefficient__attr_""angle""__coeff_16","value__fft_coefficient__attr_""angle""__coeff_20"
507,"value__fft_coefficient__attr_""imag""__coeff_14","value__fft_coefficient__attr_""angle""__coeff_58","value__fft_coefficient__attr_""angle""__coeff_87","value__fft_coefficient__attr_""angle""__coeff_17","value__fft_coefficient__attr_""angle""__coeff_21"
508,"value__fft_coefficient__attr_""abs""__coeff_38","value__fft_coefficient__attr_""abs""__coeff_11","value__fft_coefficient__attr_""abs""__coeff_17","value__fft_coefficient__attr_""angle""__coeff_18","value__fft_coefficient__attr_""angle""__coeff_22"
509,value__count_below_mean,"value__fft_coefficient__attr_""abs""__coeff_69","value__cwt_coefficients__coeff_8__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_19","value__fft_coefficient__attr_""angle""__coeff_23"
510,value__quantile__q_0.3,"value__fft_coefficient__attr_""angle""__coeff_78","value__fft_coefficient__attr_""real""__coeff_36","value__fft_coefficient__attr_""angle""__coeff_20","value__fft_coefficient__attr_""angle""__coeff_24"
511,"value__fft_coefficient__attr_""abs""__coeff_12",value__number_cwt_peaks__n_1,"value__fft_coefficient__attr_""angle""__coeff_46","value__fft_coefficient__attr_""angle""__coeff_21","value__fft_coefficient__attr_""angle""__coeff_25"
512,"value__fft_coefficient__attr_""angle""__coeff_22",value__number_peaks__n_50,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4","value__fft_coefficient__attr_""angle""__coeff_22","value__fft_coefficient__attr_""angle""__coeff_26"
513,"value__fft_coefficient__attr_""abs""__coeff_66","value__fft_coefficient__attr_""angle""__coeff_60",value__approximate_entropy__m_2__r_0.7,"value__fft_coefficient__attr_""angle""__coeff_23","value__fft_coefficient__attr_""angle""__coeff_27"
514,"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""","value__fft_coefficient__attr_""angle""__coeff_54","value__fft_coefficient__attr_""real""__coeff_35","value__fft_coefficient__attr_""angle""__coeff_24","value__fft_coefficient__attr_""angle""__coeff_28"
515,"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""","value__fft_coefficient__attr_""abs""__coeff_2","value__fft_coefficient__attr_""angle""__coeff_67","value__fft_coefficient__attr_""angle""__coeff_25","value__fft_coefficient__attr_""angle""__coeff_29"
516,"value__fft_coefficient__attr_""abs""__coeff_52","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4","value__fft_coefficient__attr_""angle""__coeff_26","value__fft_coefficient__attr_""angle""__coeff_30"
517,value__count_above_mean,"value__fft_coefficient__attr_""abs""__coeff_0","value__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_27","value__fft_coefficient__attr_""angle""__coeff_31"
518,"value__fft_coefficient__attr_""abs""__coeff_49","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""","value__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_28","value__fft_coefficient__attr_""angle""__coeff_32"
519,"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",value__approximate_entropy__m_2__r_0.1,"value__fft_coefficient__attr_""angle""__coeff_89","value__fft_coefficient__attr_""angle""__coeff_29","value__fft_coefficient__attr_""angle""__coeff_33"
520,value__quantile__q_0.1,"value__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0","value__fft_coefficient__attr_""angle""__coeff_30","value__fft_coefficient__attr_""angle""__coeff_34"
521,value__large_standard_deviation__r_0.2,value__partial_autocorrelation__lag_5,"value__fft_coefficient__attr_""imag""__coeff_50","value__fft_coefficient__attr_""angle""__coeff_31","value__fft_coefficient__attr_""angle""__coeff_35"
522,"value__fft_coefficient__attr_""abs""__coeff_21",value__symmetry_looking__r_0.05,"value__fft_coefficient__attr_""angle""__coeff_97","value__fft_coefficient__attr_""angle""__coeff_32","value__fft_coefficient__attr_""angle""__coeff_36"
523,"value__fft_coefficient__attr_""angle""__coeff_46","value__fft_coefficient__attr_""abs""__coeff_72","value__fft_coefficient__attr_""real""__coeff_57","value__fft_coefficient__attr_""angle""__coeff_33","value__fft_coefficient__attr_""angle""__coeff_37"
524,value__cid_ce__normalize_True,value__lempel_ziv_complexity__bins_100,"value__fft_coefficient__attr_""angle""__coeff_17","value__fft_coefficient__attr_""angle""__coeff_34","value__fft_coefficient__attr_""angle""__coeff_38"
525,value__quantile__q_0.4,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",value__symmetry_looking__r_0.30000000000000004,"value__fft_coefficient__attr_""angle""__coeff_35","value__fft_coefficient__attr_""angle""__coeff_39"
526,"value__fft_coefficient__attr_""real""__coeff_75","value__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_3__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_36","value__fft_coefficient__attr_""angle""__coeff_40"
527,"value__fft_coefficient__attr_""abs""__coeff_16","value__fft_coefficient__attr_""angle""__coeff_18","value__fft_coefficient__attr_""angle""__coeff_15","value__fft_coefficient__attr_""angle""__coeff_37","value__fft_coefficient__attr_""angle""__coeff_41"
528,"value__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)",value__skewness,"value__fft_coefficient__attr_""angle""__coeff_38","value__fft_coefficient__attr_""angle""__coeff_42"
529,"value__fft_coefficient__attr_""real""__coeff_27",value__large_standard_deviation__r_0.15000000000000002,"value__fft_coefficient__attr_""imag""__coeff_28","value__fft_coefficient__attr_""angle""__coeff_39","value__fft_coefficient__attr_""angle""__coeff_43"
530,"value__fft_coefficient__attr_""imag""__coeff_19","value__fft_coefficient__attr_""abs""__coeff_90","value__cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_40","value__fft_coefficient__attr_""angle""__coeff_44"
531,value__longest_strike_below_mean,value__index_mass_quantile__q_0.6,value__ar_coefficient__coeff_8__k_10,"value__fft_coefficient__attr_""angle""__coeff_41","value__fft_coefficient__attr_""angle""__coeff_45"
532,"value__fft_coefficient__attr_""angle""__coeff_3",value__ratio_beyond_r_sigma__r_10,"value__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""","value__fft_coefficient__attr_""angle""__coeff_42","value__fft_coefficient__attr_""angle""__coeff_46"
533,"value__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)","value__fft_aggregated__aggtype_""kurtosis""","value__fft_coefficient__attr_""imag""__coeff_5","value__fft_coefficient__attr_""angle""__coeff_43","value__fft_coefficient__attr_""angle""__coeff_47"
534,"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""","value__fft_coefficient__attr_""real""__coeff_34","value__fft_coefficient__attr_""angle""__coeff_44","value__fft_coefficient__attr_""angle""__coeff_48"
535,"value__fft_coefficient__attr_""angle""__coeff_62","value__fft_coefficient__attr_""abs""__coeff_55",value__ratio_beyond_r_sigma__r_5,"value__fft_coefficient__attr_""angle""__coeff_45","value__fft_coefficient__attr_""angle""__coeff_49"
536,"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""","value__fft_coefficient__attr_""abs""__coeff_99","value__fft_coefficient__attr_""imag""__coeff_68","value__fft_coefficient__attr_""angle""__coeff_46","value__fft_coefficient__attr_""angle""__coeff_50"
537,"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""","value__fft_coefficient__attr_""angle""__coeff_26","value__fft_coefficient__attr_""real""__coeff_45","value__fft_coefficient__attr_""angle""__coeff_47","value__fft_coefficient__attr_""angle""__coeff_51"
538,"value__fft_coefficient__attr_""abs""__coeff_17","value__fft_coefficient__attr_""imag""__coeff_11","value__fft_coefficient__attr_""real""__coeff_27","value__fft_coefficient__attr_""angle""__coeff_48","value__fft_coefficient__attr_""angle""__coeff_52"
539,value__permutation_entropy__dimension_7__tau_1,"value__fft_coefficient__attr_""abs""__coeff_95","value__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_49","value__fft_coefficient__attr_""angle""__coeff_53"
540,"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""","value__fft_coefficient__attr_""angle""__coeff_13","value__fft_coefficient__attr_""abs""__coeff_15","value__fft_coefficient__attr_""angle""__coeff_50","value__fft_coefficient__attr_""angle""__coeff_54"
541,value__approximate_entropy__m_2__r_0.3,"value__fft_coefficient__attr_""angle""__coeff_52",value__has_duplicate,"value__fft_coefficient__attr_""angle""__coeff_51","value__fft_coefficient__attr_""angle""__coeff_55"
542,"value__fft_coefficient__attr_""abs""__coeff_22","value__fft_coefficient__attr_""imag""__coeff_31","value__fft_coefficient__attr_""imag""__coeff_34","value__fft_coefficient__attr_""angle""__coeff_52","value__fft_coefficient__attr_""angle""__coeff_56"
543,"value__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""","value__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_53","value__fft_coefficient__attr_""angle""__coeff_57"
544,"value__fft_coefficient__attr_""imag""__coeff_31","value__fft_coefficient__attr_""imag""__coeff_15","value__fft_coefficient__attr_""imag""__coeff_80","value__fft_coefficient__attr_""angle""__coeff_54","value__fft_coefficient__attr_""angle""__coeff_58"
545,"value__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""","value__fft_coefficient__attr_""angle""__coeff_12",value__large_standard_deviation__r_0.2,"value__fft_coefficient__attr_""angle""__coeff_55","value__fft_coefficient__attr_""angle""__coeff_59"
546,"value__fft_coefficient__attr_""angle""__coeff_67",value__index_mass_quantile__q_0.4,"value__fft_coefficient__attr_""abs""__coeff_19","value__fft_coefficient__attr_""angle""__coeff_56","value__fft_coefficient__attr_""angle""__coeff_60"
547,"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",value__ar_coefficient__coeff_1__k_10,value__ratio_beyond_r_sigma__r_7,"value__fft_coefficient__attr_""angle""__coeff_57","value__fft_coefficient__attr_""angle""__coeff_61"
548,"value__fft_coefficient__attr_""abs""__coeff_95","value__fft_coefficient__attr_""abs""__coeff_48","value__fft_coefficient__attr_""angle""__coeff_21","value__fft_coefficient__attr_""angle""__coeff_58","value__fft_coefficient__attr_""angle""__coeff_62"
549,value__partial_autocorrelation__lag_7,"value__fft_coefficient__attr_""abs""__coeff_37","value__fft_coefficient__attr_""real""__coeff_79","value__fft_coefficient__attr_""angle""__coeff_59","value__fft_coefficient__attr_""angle""__coeff_63"
550,"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""","value__fft_coefficient__attr_""abs""__coeff_22","value__fft_coefficient__attr_""imag""__coeff_73","value__fft_coefficient__attr_""angle""__coeff_60","value__fft_coefficient__attr_""angle""__coeff_64"
